order_id,InvoiceNo,InvoiceDate,customer_id
1,536365,2010-12-01 08:26:00,1
2,536366,2010-12-01 08:28:00,1
3,536367,2010-12-01 08:34:00,2
4,536368,2010-12-01 08:34:00,2
5,536369,2010-12-01 08:35:00,2
6,536370,2010-12-01 08:45:00,3
7,536371,2010-12-01 09:00:00,4
8,536372,2010-12-01 09:01:00,1
9,536373,2010-12-01 09:02:00,1
10,536374,2010-12-01 09:09:00,5
11,536375,2010-12-01 09:32:00,1
12,536376,2010-12-01 09:32:00,6
13,536377,2010-12-01 09:34:00,1
14,536378,2010-12-01 09:37:00,7
15,536380,2010-12-01 09:41:00,8
16,536381,2010-12-01 09:41:00,9
17,C536379,2010-12-01 09:41:00,10
18,536382,2010-12-01 09:45:00,11
19,C536383,2010-12-01 09:49:00,9
20,536384,2010-12-01 09:53:00,12
21,536385,2010-12-01 09:56:00,13
22,536386,2010-12-01 09:57:00,14
23,536387,2010-12-01 09:58:00,14
24,536388,2010-12-01 09:59:00,15
25,536389,2010-12-01 10:03:00,16
26,536389,2010-12-01 10:03:00,1584
27,536390,2010-12-01 10:19:00,17
28,C536391,2010-12-01 10:24:00,18
29,536392,2010-12-01 10:29:00,19
30,536393,2010-12-01 10:37:00,20
31,536394,2010-12-01 10:39:00,21
32,536395,2010-12-01 10:47:00,22
33,536396,2010-12-01 10:51:00,1
34,536397,2010-12-01 10:51:00,23
35,536398,2010-12-01 10:52:00,24
36,536399,2010-12-01 10:52:00,1
37,536400,2010-12-01 10:53:00,24
38,536401,2010-12-01 11:21:00,25
39,536402,2010-12-01 11:22:00,26
40,536403,2010-12-01 11:27:00,27
41,536404,2010-12-01 11:29:00,28
42,536405,2010-12-01 11:32:00,29
43,536406,2010-12-01 11:33:00,1
44,536407,2010-12-01 11:34:00,1
45,536408,2010-12-01 11:41:00,30
46,536409,2010-12-01 11:45:00,31
47,536412,2010-12-01 11:49:00,32
48,536415,2010-12-01 11:57:00,33
49,536416,2010-12-01 11:58:00,34
50,536420,2010-12-01 12:03:00,35
51,536423,2010-12-01 12:08:00,36
52,536425,2010-12-01 12:08:00,37
53,536437,2010-12-01 12:12:00,38
54,536446,2010-12-01 12:15:00,39
55,536460,2010-12-01 12:22:00,40
56,536463,2010-12-01 12:22:00,40
57,536464,2010-12-01 12:23:00,41
58,536466,2010-12-01 12:23:00,40
59,536477,2010-12-01 12:27:00,42
60,536488,2010-12-01 12:31:00,43
61,536500,2010-12-01 12:35:00,44
62,536502,2010-12-01 12:36:00,45
63,536508,2010-12-01 12:38:00,46
64,C536506,2010-12-01 12:38:00,43
65,536514,2010-12-01 12:40:00,47
66,536520,2010-12-01 12:43:00,48
67,536521,2010-12-01 12:48:00,49
68,536522,2010-12-01 12:49:00,50
69,536523,2010-12-01 12:50:00,51
70,536524,2010-12-01 12:51:00,52
71,536525,2010-12-01 12:54:00,53
72,536526,2010-12-01 12:58:00,54
73,536527,2010-12-01 13:04:00,55
74,536528,2010-12-01 13:17:00,56
75,536529,2010-12-01 13:20:00,57
76,536530,2010-12-01 13:21:00,58
77,536531,2010-12-01 13:23:00,59
78,536532,2010-12-01 13:24:00,60
79,536533,2010-12-01 13:31:00,61
80,536534,2010-12-01 13:33:00,62
81,536535,2010-12-01 13:38:00,63
82,536536,2010-12-01 13:45:00,64
83,536537,2010-12-01 13:51:00,65
84,536538,2010-12-01 13:54:00,66
85,536539,2010-12-01 14:03:00,67
86,536540,2010-12-01 14:05:00,68
87,536541,2010-12-01 14:05:00,68
88,536542,2010-12-01 14:11:00,69
89,C536543,2010-12-01 14:30:00,70
90,C536548,2010-12-01 14:33:00,71
91,536551,2010-12-01 14:34:00,72
92,536556,2010-12-01 14:38:00,73
93,536557,2010-12-01 14:41:00,70
94,536559,2010-12-01 14:54:00,74
95,536560,2010-12-01 15:00:00,75
96,536561,2010-12-01 15:06:00,76
97,536562,2010-12-01 15:08:00,77
98,536563,2010-12-01 15:08:00,78
99,536564,2010-12-01 15:08:00,77
100,536566,2010-12-01 15:21:00,79
101,536567,2010-12-01 15:27:00,80
102,536568,2010-12-01 15:28:00,80
103,536569,2010-12-01 15:35:00,81
104,536570,2010-12-01 15:35:00,82
105,536571,2010-12-01 15:37:00,83
106,536572,2010-12-01 15:40:00,84
107,536573,2010-12-01 15:45:00,85
108,536574,2010-12-01 15:46:00,85
109,536575,2010-12-01 16:01:00,86
110,536576,2010-12-01 16:11:00,86
111,536577,2010-12-01 16:13:00,86
112,536578,2010-12-01 16:15:00,87
113,536579,2010-12-01 16:16:00,86
114,536580,2010-12-01 16:17:00,87
115,536581,2010-12-01 16:19:00,86
116,536582,2010-12-01 16:21:00,88
117,536583,2010-12-01 16:21:00,86
118,536584,2010-12-01 16:22:00,86
119,536585,2010-12-01 16:24:00,89
120,536586,2010-12-01 16:25:00,90
121,536587,2010-12-01 16:33:00,91
122,536588,2010-12-01 16:49:00,92
123,536590,2010-12-01 16:52:00,93
124,536591,2010-12-01 16:57:00,94
125,536591,2010-12-01 16:58:00,94
126,536593,2010-12-01 17:15:00,95
127,536594,2010-12-01 17:22:00,96
128,536595,2010-12-01 17:24:00,97
129,536597,2010-12-01 17:35:00,98
130,536598,2010-12-02 07:48:00,99
131,536599,2010-12-02 07:49:00,100
132,536600,2010-12-02 08:32:00,1
133,536601,2010-12-02 08:33:00,1
134,536602,2010-12-02 08:34:00,1
135,536603,2010-12-02 08:40:00,1
136,536604,2010-12-02 08:43:00,101
137,536605,2010-12-02 08:52:00,102
138,C536606,2010-12-02 09:10:00,103
139,536607,2010-12-02 09:29:00,104
140,536608,2010-12-02 09:37:00,105
141,536609,2010-12-02 09:41:00,1
142,536610,2010-12-02 09:42:00,1
143,536611,2010-12-02 09:43:00,106
144,536612,2010-12-02 09:44:00,1
145,536613,2010-12-02 09:44:00,107
146,536614,2010-12-02 09:44:00,1
147,536615,2010-12-02 10:09:00,108
148,536616,2010-12-02 10:10:00,109
149,536617,2010-12-02 10:17:00,110
150,536618,2010-12-02 10:17:00,111
151,536619,2010-12-02 10:18:00,111
152,536620,2010-12-02 10:27:00,112
153,536621,2010-12-02 10:35:00,113
154,C536622,2010-12-02 10:37:00,114
155,536623,2010-12-02 10:39:00,115
156,536624,2010-12-02 10:45:00,116
157,536626,2010-12-02 10:46:00,116
158,C536625,2010-12-02 10:46:00,117
159,536627,2010-12-02 10:53:00,118
160,536628,2010-12-02 10:54:00,1
161,536629,2010-12-02 10:55:00,1
162,536630,2010-12-02 10:56:00,1
163,536631,2010-12-02 10:58:00,1
164,536632,2010-12-02 11:02:00,119
165,536633,2010-12-02 11:20:00,120
166,536634,2010-12-02 11:21:00,121
167,536635,2010-12-02 11:22:00,122
168,536636,2010-12-02 11:23:00,123
169,536637,2010-12-02 11:35:00,121
170,536638,2010-12-02 11:41:00,124
171,536639,2010-12-02 11:45:00,125
172,536641,2010-12-02 11:46:00,49
173,C536642,2010-12-02 11:56:00,126
174,536643,2010-12-02 11:57:00,126
175,536663,2010-12-02 12:07:00,127
176,536667,2010-12-02 12:09:00,128
177,536670,2010-12-02 12:09:00,128
178,536671,2010-12-02 12:10:00,129
179,536672,2010-12-02 12:10:00,130
180,536673,2010-12-02 12:11:00,131
181,536674,2010-12-02 12:16:00,132
182,536676,2010-12-02 12:18:00,133
183,536681,2010-12-02 12:22:00,134
184,536685,2010-12-02 12:23:00,1
185,536688,2010-12-02 12:24:00,1
186,536690,2010-12-02 12:25:00,1
187,536693,2010-12-02 12:26:00,1
188,536698,2010-12-02 12:28:00,135
189,536707,2010-12-02 12:33:00,136
190,536732,2010-12-02 12:47:00,137
191,536733,2010-12-02 12:50:00,138
192,C536734,2010-12-02 12:50:00,139
193,536735,2010-12-02 12:58:00,140
194,536736,2010-12-02 12:59:00,140
195,C536737,2010-12-02 13:05:00,65
196,536738,2010-12-02 13:06:00,141
197,536739,2010-12-02 13:08:00,142
198,536740,2010-12-02 13:08:00,141
199,536741,2010-12-02 13:11:00,143
200,536742,2010-12-02 13:14:00,144
201,536743,2010-12-02 13:32:00,145
202,536744,2010-12-02 13:36:00,146
203,536745,2010-12-02 13:38:00,147
204,536746,2010-12-02 13:39:00,148
205,536747,2010-12-02 13:44:00,149
206,536748,2010-12-02 13:45:00,150
207,536749,2010-12-02 13:49:00,151
208,536750,2010-12-02 14:04:00,1
209,536751,2010-12-02 14:05:00,1
210,536752,2010-12-02 14:06:00,1
211,536753,2010-12-02 14:07:00,1
212,536754,2010-12-02 14:09:00,152
213,C536757,2010-12-02 14:23:00,153
214,C536758,2010-12-02 14:25:00,22
215,536759,2010-12-02 14:26:00,154
216,C536760,2010-12-02 14:29:00,155
217,536761,2010-12-02 14:30:00,156
218,536762,2010-12-02 14:40:00,157
219,536763,2010-12-02 14:42:00,158
220,536769,2010-12-02 14:47:00,159
221,536771,2010-12-02 14:49:00,159
222,536777,2010-12-02 15:00:00,160
223,536778,2010-12-02 15:03:00,161
224,536779,2010-12-02 15:08:00,162
225,536781,2010-12-02 15:14:00,89
226,536782,2010-12-02 15:18:00,163
227,536783,2010-12-02 15:19:00,164
228,536784,2010-12-02 15:20:00,164
229,536785,2010-12-02 15:22:00,164
230,536786,2010-12-02 15:23:00,164
231,536787,2010-12-02 15:24:00,1
232,536788,2010-12-02 15:25:00,164
233,536789,2010-12-02 15:25:00,1
234,536790,2010-12-02 15:26:00,1
235,536791,2010-12-02 15:27:00,1
236,536792,2010-12-02 15:28:00,164
237,536793,2010-12-02 15:39:00,165
